iter	Passed	Remaining
558	2269	1189
559	2273	1185
560	2277	1181
561	2281	1177
562	2285	1173
563	2289	1169
564	2293	1165
565	2297	1161
566	2301	1156
567	2305	1152
568	2309	1148
569	2313	1144
570	2317	1140
571	2321	1136
572	2324	1132
573	2328	1127
574	2333	1123
575	2336	1119
576	2340	1115
577	2345	1111
578	2349	1107
579	2353	1103
580	2357	1099
581	2361	1095
582	2365	1091
583	2369	1087
584	2373	1083
585	2377	1079
586	2381	1075
587	2385	1071
588	2388	1066
589	2393	1062
590	2397	1058
591	2401	1054
592	2405	1050
593	2410	1046
594	2414	1042
595	2418	1038
596	2422	1034
597	2426	1030
598	2430	1026
599	2434	1022
600	2438	1018
601	2442	1014
602	2446	1010
603	2450	1006
604	2454	1002
605	2458	997
606	2462	993
607	2466	989
608	2470	985
609	2474	981
610	2478	977
611	2483	973
612	2487	969
613	2492	965
614	2496	961
615	2500	958
616	2505	954
617	2509	950
618	2514	946
619	2519	942
620	2523	938
621	2527	934
622	2531	930
623	2535	926
624	2540	922
625	2544	918
626	2548	914
627	2552	910
628	2556	906
629	2560	902
630	2564	898
631	2566	893
632	2570	889
633	2574	885
634	2578	881
635	2582	876
636	2586	872
637	2590	868
638	2594	864
639	2597	860
640	2601	856
641	2605	852
642	2609	848
643	2613	844
644	2617	839
645	2621	835
646	2625	831
647	2628	827
648	2633	823
649	2637	819
650	2641	815
651	2645	811
652	2650	807
653	2654	803
654	2658	799
655	2666	796
656	2674	793
657	2681	790
658	2688	787
659	2697	784
660	2702	780
661	2707	777
662	2713	773
663	2718	769
664	2723	765
665	2727	761
666	2732	757
667	2736	753
668	2740	749
669	2744	745
670	2746	740
671	2750	736
672	2753	732
673	2757	728
674	2760	723
675	2764	719
676	2768	715
677	2772	711
678	2776	707
679	2780	703
680	2783	698
681	2787	694
682	2791	690
683	2794	686
684	2798	682
685	2802	678
686	2806	673
687	2810	669
688	2813	665
689	2818	661
690	2821	657
691	2825	653
692	2829	649
693	2833	644
694	2836	640
695	2839	636
696	2841	631
697	2845	627
698	2849	623
699	2853	619
700	2857	615
701	2861	611
702	2864	607
703	2868	603
704	2872	598
705	2876	594
706	2880	590
707	2885	586
708	2889	582
709	2892	578
710	2896	574
711	2899	570
712	2903	566
713	2907	561
